0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:35 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 200 3152
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:35 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 200 3149
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:35 +0530] "GET /Project_4/doc/module-search-index.js HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:35 +0530] "GET /Project_4/doc/tag-search-index.js HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:35 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 200 3152
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:35 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 200 3149
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:37 +0530] "GET /Project_4/doc/in/co/pro4/controller/CourseCtl.html HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:42 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:52 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:52 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:54 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [19/Feb/2024:13:19:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
